name,price,score,dis
Hyatt House Austin/Downtown,1195.0,8.0,0.4
Courtyard Austin Downtown/Convention Center,1414.0,8.2,0.2
Hilton Garden Inn Cedar Park Austin,673.0,9.0,14.5
Sentral East Austin at 1614 E Sixth,1000.0,9.1,1.1
Sentral East Austin at 1630 E Sixth,840.0,8.1,1.1
Aiden by Best Western @ Austin City Hotel,955.0,8.2,2.2
The LINE Austin,1894.0,8.2,0.3
Cambria Hotel Austin Airport,764.0,8.8,4.5
East Austin Hotel,974.0,8.3,0.7
Red Roof Inn PLUS+ Austin South,539.0,7.3,4.1
The Carpenter Hotel,1457.0,9.0,1.0
"Homewood Suites By Hilton Austin/Cedar Park-Lakeline, Tx",754.0,9.1,14.0
Comfort Suites Austin NW Lakeline,627.0,7.7,13.4
La Quinta Inn by Wyndham Austin Capitol / Downtown,697.0,5.8,0.4
DoubleTree by Hilton Austin-University Area,1666.0,8.0,1.1
Hilton Austin,2154.0,8.0,0.3
Sonder at East 5th,1047.0,8.6,0.8
Extended Stay America Suites - Austin - Downtown - Town Lake,615.0,7.0,0.8
"Staybridge Suites Austin North - Parmer Lane, an IHG Hotel",697.0,8.7,11.1
Radisson Hotel Austin,735.0,6.5,4.5
Hotel Granduca Austin,1434.0,8.4,5.7
Colton House Hotel,1725.0,9.0,2.2
Embassy Suites Austin - Central,767.0,7.9,4.2
Wyndham Garden Hotel Austin,643.0,7.7,3.0
Mint House Austin - South Congress,1169.0,8.7,0.9
"Origin Austin, a Wyndham Hotel",926.0,9.6,3.1
Studio 6 Austin Airport,474.0,7.7,4.4
Instagrammable Condo Walkable to All in Austin!,1160.0,10.0,0.9
Casata Austin,708.0,9.5,8.6
Natiivo,1033.0,9.6,0.8
Econo Lodge Arboretum,479.0,5.9,7.5
Hotel Magdalena,1784.0,8.6,1.0
Natiivo Austin II,1032.0,9.2,0.8
Sleep Inn & Suites Austin,575.0,7.6,12.0
"Studio 6-Austin, TX - Midtown",587.0,6.6,4.8
Days Inn by Wyndham Austin/University/Downtown,455.0,5.8,1.9
Hilton Garden Inn Austin North,724.0,8.3,10.2
Tiny Tasteful 1 - Downtown,848.0,9.5,1.0
Hampton Inn Austin Oak Hill,779.0,8.5,7.4
"Holiday Inn Express Austin North Central, an IHG Hotel",630.0,7.8,6.4
