name,price,score,dis
AC Hotel by Marriott Austin-University,1484.0,8.6,1.1
"Staybridge Suites Austin Northwest, an IHG Hotel",854.0,8.0,12.2
"Holiday Inn Express Hotel & Suites Austin Downtown, an IHG Hotel",1076.0,8.1,0.4
Hyatt Place Austin Downtown,1026.0,8.2,0.2
Kasa East Austin,906.0,8.6,2.1
Best Western PLUS Austin Airport Inn & Suites,713.0,8.0,4.5
Motel 6 Austin Airport,486.0,7.7,4.4
Sonder Bouldin Creek,1134.0,8.7,1.0
Mint House at The Hatchery - Austin,1024.0,9.0,1.1
Hilton Garden Inn Austin Downtown-Convention Center,1078.0,7.3,0.4
Sonder at East Eleventh,982.0,7.0,0.7
Embassy Suites by Hilton Austin Downtown South Congress,1216.0,8.0,0.6
Hyatt Place Austin Airport,869.0,8.7,6.0
Hotel Ella,1565.0,8.5,1.1
Hyatt House Austin Arboretum,546.0,7.6,8.5
Renaissance Austin Hotel,1296.0,8.3,8.7
Kasa 2nd Street Austin,1225.0,8.1,0.2
JW Marriott Austin,2332.0,8.6,0.2
Homewood Suites by Hilton Austin Downtown,1094.0,8.0,0.7
Austin Marriott Downtown,2103.0,8.5,0.3
Hampton Inn and Suites Austin University Capitol,1113.0,8.7,0.9
"Motel 6 Austin, TX - Central Downtown UT",490.0,6.6,3.8
Hyatt Place Austin Arboretum Domain Area,727.0,8.2,8.2
The Westin Austin Downtown,2214.0,8.1,0.1
Aloft Austin Downtown,1934.0,8.3,0.1
"Hilton Garden Inn Austin University Capitol District, Tx",1088.0,8.3,0.9
Sonesta Simply Suites Austin The Domain Area,658.0,7.9,8.4
Hampton Inn Austin NW near The Domain,769.0,8.4,9.0
The Westin Austin at The Domain,1594.0,8.8,9.2
Terrace on Shoal Creek #19,919.0,10.0,0.6
Quality Suites,576.0,7.6,3.8
La Quinta Inn by Wyndham Austin North,720.0,7.0,5.5
Fairfield Inn and Suites by Marriott Austin Northwest/Research Blvd,742.0,8.3,12.2
"Holiday Inn Express & Suites Austin NW - Lakeline, an IHG Hotel",589.0,8.2,14.2
"Hotel Indigo Austin Downtown, an IHG Hotel",1123.0,7.9,0.4
DoubleTree Suites by Hilton Hotel Austin,1415.0,7.9,0.7
"Holiday Inn Express Hotel & Suites Austin SW - Sunset Valley, an IHG Hotel",790.0,7.5,4.8
La Quinta Inn by Wyndham Austin Oltorf,544.0,5.6,2.3
Homewood Suites TechRidge Parmer @ I-35,870.0,8.7,10.7
"Kimpton Hotel Van Zandt, an IHG Hotel",2312.0,8.0,0.5
Sonesta ES Suites Austin The Domain Area,738.0,8.3,8.7
TownePlace Suites Austin South,859.0,8.9,5.1
Hampton Inn & Suites Austin Cedar Park-Lakeline,638.0,8.6,14.0
Kasa Lady Bird Lake Austin,1158.0,7.9,0.1
La Quinta by Wyndham Austin Airport,805.0,7.6,4.6
ARRIVE Austin,1685.0,9.3,1.2
Sleep Inn & Suites Austin – Tech Center,644.0,8.2,6.5
Sonder at The Catherine,1436.0,8.5,0.6
Embassy Suites by Hilton Austin Arboretum,1418.0,7.4,8.2
La Quinta by Wyndham Austin Southwest,715.0,6.9,4.8
"avid hotels - Austin - Tech Ridge, an IHG Hotel",671.0,8.3,10.1
Hampton Inn & Suites-Austin Airport,918.0,8.1,4.7
"Candlewood Suites - Austin Airport, an IHG Hotel",923.0,8.4,4.4
"Motel 6-Austin, TX",510.0,6.8,5.9
Austin Southpark Hotel,1170.0,7.5,3.6
Courtyard Austin-University Area,760.0,7.8,4.1
SpringHill Suites Austin South,859.0,7.9,4.0
Moxy Austin - University,1184.0,8.8,1.6
Omni Austin Hotel Downtown,1580.0,7.8,0.2
Austin Motel,937.0,8.5,1.1
The Guild Austin Lofts on 5th,1914.0,8.6,0.2
Extended Stay America Premier Suites - Austin - Austin Airport,836.0,8.0,4.5
"Motel 6-Austin, TX - Midtown",612.0,5.3,5.0
"Studio 6-Austin, TX - Northwest",574.0,6.0,10.9
SpringHill Suites by Marriott Austin The Domain Area,892.0,8.7,9.1
Drury Inn & Suites Austin North,756.0,8.9,4.8
Fairfield Inn & Suites Austin University Area,780.0,7.9,4.1
South Congress Hotel,1374.0,8.4,1.4
"Holiday Inn Express Hotel & Suites Austin NW - Arboretum Area, an IHG Hotel",1024.0,8.7,9.1
Orangewood Inn and Suites Midtown,649.0,7.8,6.9
Yellow Tulip,1283.0,10.0,1.7
Austin Motor Inn,331.0,5.0,8.7
Austin House with Back Yard - 15 Mi to Downtown,1467.0,9.0,12.8
Natiivo Austin,1093.0,9.3,0.8
Luxury Townhomes - Evonify Stays,869.0,8.1,14.3
Budget Inn Motel,331.0,4.7,7.0
Natiivo Austin XII,1079.0,9.5,0.8
"Holiday Inn Austin Airport, an IHG Hotel",882.0,8.7,4.3
La Quinta by Wyndham Austin at The Domain,783.0,7.9,9.8
Best Western Plus Executive Residency Austin,752.0,7.9,13.1
Courtyard Austin Airport,964.0,8.5,4.7
Hyatt Place Austin Lake Travis/Four Points,969.0,8.5,11.7
DoubleTree by Hilton Austin Northwest - Arboretum,864.0,7.3,7.7
Extended Stay America Suites - Austin - Northwest Arboretum,575.0,6.7,8.6
Extended Stay America Suites - Austin - Metro,617.0,6.3,4.6
Hotel San Jose,1513.0,8.6,1.2
Aloft Austin South,962.0,9.0,3.6
Hilton Garden Inn Austin Airport,849.0,8.8,4.5
Hampton Inn Austin-South - I-35 & Ben White,846.0,7.8,3.6
Homewood Suites Austin/South,966.0,8.9,3.7
Vivant - Extended Stay Apartments Next to Downtown,1813.0,9.4,2.3
Extended Stay America Suites - Austin - Northwest - Lakeline Mall,499.0,5.8,14.2
Natiivo Austin VIII,1066.0,10.0,0.8
Cabin-Style Book House & Writing Barn,566.0,9.5,8.5
"Hidden 3BDR, 2BA w/Pool & King Bed 6 mins from DT",1051.0,8.7,2.1
Omni Barton Creek Resort & Spa,2394.0,8.5,7.1
Residence Inn by Marriott Austin Southwest,1314.0,9.2,6.8
"Motel 6-Austin, TX - South - Airport",664.0,4.7,2.7
Fairfield Inn and Suites by Marriott Austin Northwest/The Domain Area,768.0,8.1,9.2
Residence Inn by Marriott Austin The Domain Area,1174.0,7.9,8.1
Americas Best Value Inn Austin,2994.0,5.6,4.2
Rodeway Inn and Suites Austin,455.0,4.8,4.5
Courtyard by Marriott Austin The Domain Area,922.0,6.7,8.2
"Vivant - SoLa Chic King Bed Suites, Close to Downtown",2178.0,10.0,3.2
TownePlace Suites by Marriott Austin Parmer/Tech Ridge,794.0,8.4,10.2
Sonesta Select Austin North Central,814.0,7.9,5.5
"Vivant - Upscale Modern Apts - Free Parking, Fast WiFi, Gym",2913.0,9.6,3.3
Vivant - Spacious 2BR King Bed Suites Close to Downtown and Airport,3004.0,10.0,3.8
Brava House B&B,1552.0,9.5,1.0
Vivant - Efficiency 2BR King Bed Suites Next to Downtown,1733.0,10.0,1.9
AC Hotel by Marriott Austin Hill Country,1459.0,9.0,7.7
Cozy-2 Bedroom 2 Bath- Near Lakeline Mall,908.0,10.0,15.2
Village Motor Inn,1564.0,4.6,2.6
Residence Inn by Marriott Austin - University Area,1615.0,8.4,3.5
