name,price,score,dis
SpringHill Suites by Marriott Austin Northwest Research Blvd,678.0,9.2,12.6
Corporate Housing with a Cozy Feel Close to Downtown,702.0,10.0,5.6
Luxury Greenhouse Studio,891.0,8.8,0.9
"Home2 Suites by Hilton Austin North/Near the Domain, TX",827.0,9.2,9.2
"Holiday Inn Austin Midtown, an IHG Hotel",747.0,7.7,4.4
Hilton Garden Inn Austin NorthWest/Arboretum,660.0,8.3,10.3
Natiivo Austin II,1347.0,9.2,0.8
Vivant - Extended Stay Apartments Next to Downtown,1175.0,9.4,2.3
Budget Inn Motel,338.0,4.7,7.0
Super 8 by Wyndham Austin South I-35,451.0,4.9,3.7
Firehouse Hostel,714.0,7.7,0.1
Microtel Inn & Suites by Wyndham Austin Airport,538.0,7.4,4.7
Ramada by Wyndham Austin South,607.0,7.8,3.9
Travelodge by Wyndham Austin South,630.0,5.3,2.7
Heart of Texas Motel,570.0,6.9,6.0
Rodeway Inn and Suites Austin,546.0,4.8,4.5
Vivant - Spacious 2BR King Bed Suites Close to Downtown and Airport,1603.0,10.0,3.8
Casulo Hotel,704.0,4.6,2.8
Element Austin Downtown,1134.0,8.1,0.1
"Austin Proper Hotel, a Member of Design Hotels",2299.0,8.5,0.4
Super 8 by Wyndham Austin Downtown/Capitol Area,677.0,6.4,0.8
Comfort Inn & Suites ATX North,584.0,6.6,5.4
TownePlace Suites by Marriott Austin Parmer/Tech Ridge,724.0,8.4,10.2
Residence Inn Austin Downtown / Convention Center,1064.0,8.6,0.2
Natiivo Austin XIV,1118.0,8.3,0.8
Extended Stay America Suites - Austin - North Central,551.0,5.6,6.0
Village Motor Inn,479.0,4.6,2.6
Extended Stay America Suites - Austin - Southwest,651.0,7.0,5.4
Aloft Austin South,786.0,9.0,3.6
Hampton Inn Austin-South - I-35 & Ben White,708.0,7.8,3.6
Hotel San Jose,1335.0,8.6,1.2
Extended Stay America Suites - Austin - Northwest - Research Park,532.0,5.2,11.2
Omni Barton Creek Resort & Spa,2047.0,8.5,7.1
Sonesta Select Austin North Central,854.0,7.9,5.5
Super 8 by Wyndham Austin/Airport South,552.0,6.4,4.2
Sonder Bouldin Creek,1485.0,8.7,1.0
Terrace on Shoal Creek #19,1129.0,10.0,0.6
Courtyard Austin South,931.0,8.3,4.0
Central Austin minutes to Downtown SXSW ACL UT,2000.0,10.0,3.8
Extended Stay America Suites - Austin - Northwest Arboretum,579.0,6.7,8.6
Home2 Suites By Hilton Austin Airport,799.0,8.9,4.5
"Vivant - SoLa Chic King Bed Suites, Close to Downtown",1375.0,10.0,3.2
Fairfield Inn and Suites by Marriott Austin Northwest/The Domain Area,581.0,8.1,9.2
A Secluded Urban Escape,1215.0,10.0,3.3
Aloft Austin at The Domain,1077.0,8.2,9.5
Vivant - Efficiency 2BR King Bed Suites Next to Downtown,1123.0,10.0,1.9
Residence Inn by Marriott Austin Airport,984.0,8.5,4.5
Natiivo Austin VI,1413.0,8.0,0.8
Homewood Suites Austin/South,972.0,8.9,3.7
Natiivo Austin XII,1334.0,9.5,0.8
Hilton Garden Inn Austin Airport,896.0,8.8,4.5
Super 8 by Wyndham Austin University/Downtown Area,486.0,6.0,3.9
Residence Inn by Marriott Austin The Domain Area,1004.0,7.9,8.1
Extended Stay America Suites - Austin - Metro,636.0,6.3,4.6
Residence Inn by Marriott Austin - University Area,949.0,8.4,3.5
Aloft Austin Airport,805.0,8.0,4.6
Residence Inn by Marriott Austin Northwest/The Domain Area,966.0,8.7,9.4
Hyatt Place Austin Lake Travis/Four Points,1020.0,8.5,11.7
Fairfield Inn and Suites Austin South,728.0,8.3,4.1
Natiivo Austin,1445.0,9.3,0.8
Kasa Southeast-Airport Austin,1254.0,8.5,3.8
Extended Stay America Suites - Austin - Northwest - Lakeline Mall,546.0,5.8,14.2
Courtyard Austin by Marriott Northwest/Lakeline,679.0,8.7,14.2
AC Hotel by Marriott Austin Hill Country,1303.0,9.0,7.7
Courtyard by Marriott Austin The Domain Area,751.0,6.7,8.2
Cabin-Style Book House & Writing Barn,709.0,9.5,8.5
"Motel 6-Austin, TX - South - Airport",704.0,4.7,2.7
Americas Best Value Inn Austin,2994.0,5.6,4.2
Element Austin at The Domain,834.0,9.2,8.8
FRONTDESK Pointe on Rio Apts West Campus Austin,1334.0,6.0,1.1
Residence Inn Austin South,1049.0,8.2,4.1
"Downtown, Convention Center, Capitol, Zilker Park, Lake, 6th St, Domain",2375.0,8.3,1.9
Natiivo Austin VIII,1377.0,10.0,0.8
Residence Inn by Marriott Austin Parmer/Tech Ridge,794.0,8.1,10.4
Four Seasons Hotel Austin,3484.0,8.5,0.3
