name,price,score,dis
"The Otis Hotel Austin, Autograph Collection",1244.0,9.1,1.1
JW Marriott Austin,1287.0,8.6,0.2
ARRIVE Austin,780.0,9.3,1.2
Hampton Inn Austin NW near The Domain,695.0,8.4,9.0
Mint House at The Hatchery - Austin,744.0,9.0,1.1
Hampton Inn Austin North,594.0,8.1,5.5
Aloft Austin Northwest,718.0,8.4,14.8
"Hilton Garden Inn Austin North-Near the Domain, TX",800.0,9.0,8.8
Quality Suites,570.0,7.6,3.8
"Kimpton Hotel Van Zandt, an IHG Hotel",1239.0,8.0,0.5
La Quinta Inn by Wyndham Austin North,740.0,7.0,5.5
Cambria Hotel Austin Airport,688.0,8.8,4.5
"Hilton Garden Inn Austin University Capitol District, Tx",811.0,8.3,0.9
"Candlewood Suites - Austin North, an IHG Hotel",716.0,8.5,6.3
Fairfield Inn and Suites by Marriott Austin Northwest/Research Blvd,607.0,8.3,12.2
Hotel Ella,930.0,8.5,1.1
Canopy By Hilton Austin Downtown,1006.0,8.8,0.4
Best Western PLUS Austin Airport Inn & Suites,738.0,8.0,4.5
Courtyard Austin North/Parmer Lane,654.0,8.2,10.1
Hyatt House Austin Arboretum,546.0,7.6,8.5
"Holiday Inn Austin -Town Lake, an IHG Hotel",954.0,7.7,1.0
"Hotel Indigo Austin Downtown, an IHG Hotel",818.0,7.9,0.4
Fairfield Inn & Suites by Marriott Austin Parmer Tech Ridge,624.0,7.8,10.5
Mint House Austin - South Congress,935.0,8.7,0.9
"Origin Austin, a Wyndham Hotel",866.0,9.6,3.1
Corporate Housing with a Cozy Feel Close to Downtown,697.0,10.0,5.6
Hyatt Place Austin Airport,879.0,8.7,6.0
Sonder Bouldin Creek,1193.0,8.7,1.0
Homewood Suites Austin NW near The Domain,846.0,8.8,9.1
Comfort Suites Austin Airport,589.0,7.2,4.6
Hyatt Place Austin Arboretum Domain Area,663.0,8.2,8.2
La Quinta by Wyndham Austin Airport,491.0,7.6,4.6
"Motel 6 Austin, TX - Central Downtown UT",478.0,6.6,3.8
La Quinta by Wyndham Austin Southwest,502.0,6.9,4.8
Tiny Tasteful 1 - Downtown,1002.0,9.5,1.0
Embassy Suites by Hilton Austin Arboretum,837.0,7.4,8.2
Homewood Suites TechRidge Parmer @ I-35,650.0,8.7,10.7
Sonesta Simply Suites Austin The Domain Area,641.0,7.9,8.4
"Holiday Inn Express & Suites Austin South, an IHG Hotel",731.0,8.0,4.8
Sonder at East Eleventh,1020.0,7.0,0.7
"Holiday Inn Austin Airport, an IHG Hotel",690.0,8.7,4.3
Hilton Austin Airport,1006.0,8.3,6.1
"Holiday Inn Express & Suites Austin NW - Lakeline, an IHG Hotel",557.0,8.2,14.2
"Homewood Suites By Hilton Austin/Cedar Park-Lakeline, Tx",710.0,9.1,14.0
TownePlace Suites Austin South,643.0,8.9,5.1
"Holiday Inn Express Hotel & Suites Austin SW - Sunset Valley, an IHG Hotel",684.0,7.5,4.8
Hotel Magdalena,1634.0,8.6,1.0
Hampton Inn & Suites-Austin Airport,693.0,8.1,4.7
Kasa Lady Bird Lake Austin,1090.0,7.9,0.1
Best Western Plus Executive Residency Austin,579.0,7.9,13.1
SpringHill Suites by Marriott Austin Parmer/Tech Ridge,534.0,8.1,10.4
Best Western Plus Austin Central,710.0,7.8,4.2
The Westin Austin at The Domain,1165.0,8.8,9.2
Casata Austin,652.0,9.5,8.6
The Westin Austin Downtown,1066.0,8.1,0.1
Courtyard Austin Airport,774.0,8.5,4.7
"Holiday Inn Express Hotel & Suites Austin NW - Arboretum Area, an IHG Hotel",827.0,8.7,9.1
Austin Southpark Hotel,778.0,7.5,3.6
Instagrammable Condo Walkable to All in Austin!,1376.0,10.0,0.9
Orangewood Inn and Suites Midtown,590.0,7.8,6.9
Kasa 2nd Street Austin,1536.0,8.1,0.2
DoubleTree by Hilton Austin Northwest - Arboretum,864.0,7.3,7.7
"Candlewood Suites - Austin Airport, an IHG Hotel",836.0,8.4,4.4
Extended Stay America Suites - Austin - Northwest Arboretum,556.0,6.7,8.6
Sonesta ES Suites Austin The Domain Area,745.0,8.3,8.7
Natiivo,1331.0,9.6,0.8
Courtyard Austin-University Area,556.0,7.8,4.1
Sheraton Austin Hotel at the Capitol,913.0,6.9,0.6
Sonder at South Congress,2165.0,8.6,1.1
Mountain Star Lodge,764.0,7.9,13.2
Sleep Inn & Suites Austin,518.0,7.6,12.0
Sleep Inn & Suites Austin – Tech Center,610.0,8.2,6.5
Austin Motel,726.0,8.5,1.1
Club Wyndham Austin,723.0,8.6,0.4
Hampton Inn & Suites Austin Cedar Park-Lakeline,617.0,8.6,14.0
Extended Stay America Premier Suites - Austin - Austin Airport,746.0,8.0,4.5
"Studio 6-Austin, TX - Northwest",532.0,6.0,10.9
Fairfield Inn & Suites Austin University Area,701.0,7.9,4.1
"Motel 6-Austin, TX",558.0,6.8,5.9
"Home2 Suites by Hilton Austin North/Near the Domain, TX",671.0,9.2,9.2
"Lone Star Court, by Valencia Hotel Group",1165.0,9.0,8.9
Extended Stay America Suites - Austin - Northwest Arboretum - The Domain,459.0,5.4,9.8
SpringHill Suites by Marriott Austin Northwest Research Blvd,588.0,9.2,12.6
Archer Hotel Austin,1989.0,9.3,9.5
Hilton Garden Inn Austin NorthWest/Arboretum,555.0,8.3,10.3
Thompson Austin,1434.0,6.1,0.1
"Motel 6-Austin, TX - North",584.0,5.4,7.2
Super 8 by Wyndham Austin Downtown/Capitol Area,388.0,6.4,0.8
"Vivant - Upscale Modern Apts - Free Parking, Fast WiFi, Gym",1556.0,9.6,3.3
Austin Motor Inn,338.0,5.0,8.7
St Johns,1270.0,10.0,5.2
"Holiday Inn Austin Midtown, an IHG Hotel",792.0,7.7,4.4
Element Austin Downtown,913.0,8.1,0.1
Strickland Arms Bed and Breakfast,1110.0,8.6,3.2
Budget Inn Motel,338.0,4.7,7.0
Natiivo Austin II,1401.0,9.2,0.8
TownePlace Suites by Marriott Austin Parmer/Tech Ridge,674.0,8.4,10.2
Vivant - Extended Stay Apartments Next to Downtown,1275.0,9.4,2.3
Ramada by Wyndham Austin South,607.0,7.8,3.9
"Austin Proper Hotel, a Member of Design Hotels",2203.0,8.5,0.4
Firehouse Hostel,734.0,7.7,0.1
Locale Austin - South Congress,1427.0,5.8,0.8
Omni Austin Hotel Downtown,859.0,7.8,0.2
Microtel Inn & Suites by Wyndham Austin Airport,552.0,7.4,4.7
Rodeway Inn and Suites Austin,540.0,4.8,4.5
Travelodge by Wyndham Austin South,630.0,5.3,2.7
Heart of Texas Motel,570.0,6.9,6.0
Casulo Hotel,704.0,4.6,2.8
Hampton Inn Austin-South - I-35 & Ben White,606.0,7.8,3.6
Residence Inn Austin Downtown / Convention Center,1014.0,8.6,0.2
Super 8 by Wyndham Austin/Airport South,496.0,6.4,4.2
Residence Inn by Marriott Austin Southwest,954.0,9.2,6.8
Extended Stay America Suites - Austin - Southwest,651.0,7.0,5.4
Extended Stay America Suites - Austin - North Central,551.0,5.6,6.0
"Vivant - SoLa Chic King Bed Suites, Close to Downtown",1560.0,10.0,3.2
Homewood Suites Austin/South,762.0,8.9,3.7
Natiivo Austin XII,1453.0,9.5,0.8
Natiivo Austin VI,1469.0,8.0,0.8
Extended Stay America Suites - Austin - Northwest - Research Park,527.0,5.2,11.2
AC Hotel by Marriott Austin Hill Country,968.0,9.0,7.7
Aloft Austin Airport,679.0,8.0,4.6
Comfort Inn & Suites ATX North,578.0,6.6,5.4
Hyatt Place Austin Lake Travis/Four Points,963.0,8.5,11.7
Fairfield Inn and Suites by Marriott Austin Northwest/The Domain Area,547.0,8.1,9.2
Super 8 by Wyndham Austin University/Downtown Area,412.0,6.0,3.9
Natiivo Austin XIV,1341.0,8.3,0.8
Natiivo Austin,1501.0,9.3,0.8
Aloft Austin at The Domain,1077.0,8.2,9.5
Residence Inn Austin South,878.0,8.2,4.1
Courtyard by Marriott Austin The Domain Area,607.0,6.7,8.2
Residence Inn by Marriott Austin - University Area,949.0,8.4,3.5
Vivant - Efficiency 2BR King Bed Suites Next to Downtown,1241.0,10.0,1.9
Village Motor Inn,479.0,4.6,2.6
FRONTDESK Pointe on Rio Apts West Campus Austin,1272.0,6.0,1.1
Residence Inn by Marriott Austin The Domain Area,874.0,7.9,8.1
Sonesta Select Austin North Central,854.0,7.9,5.5
Cabin-Style Book House & Writing Barn,881.0,9.5,8.5
Courtyard Austin South,913.0,8.3,4.0
Element Austin at The Domain,806.0,9.2,8.8
Omni Barton Creek Resort & Spa,2274.0,8.5,7.1
Residence Inn by Marriott Austin Northwest/The Domain Area,900.0,8.7,9.4
Super 8 by Wyndham Austin South I-35,546.0,4.9,3.7
Extended Stay America Suites - Austin - Northwest - Lakeline Mall,532.0,5.8,14.2
Extended Stay America Suites - Austin - Metro,636.0,6.3,4.6
