name,price,score,dis
Fairmont Austin,1016.0,8.9,0.4
Austin Marriott Downtown,1219.0,8.5,0.3
Hyatt House Austin/Downtown,619.0,8.0,0.4
The LINE Austin,1244.0,8.2,0.3
Hilton Garden Inn Cedar Park Austin,607.0,9.0,14.5
AT&T Hotel & Conference Center,805.0,8.7,1.0
DoubleTree by Hilton Austin-University Area,876.0,8.0,1.1
The Carpenter Hotel,1074.0,9.0,1.0
DoubleTree by Hilton Austin,780.0,8.2,4.7
Sentral East Austin at 1614 E Sixth,990.0,9.1,1.1
Sentral East Austin at 1630 E Sixth,820.0,8.1,1.1
Aiden by Best Western @ Austin City Hotel,1015.0,8.2,2.2
Colton House Hotel,1131.0,9.0,2.2
Hotel Granduca Austin,1014.0,8.4,5.7
East Austin Hotel,884.0,8.3,0.7
Hyatt Regency Austin,954.0,8.4,0.5
La Quinta by Wyndham Austin at The Domain,576.0,7.9,9.8
Red Roof Inn PLUS+ Austin South,564.0,7.3,4.1
The Stephen F Austin Royal Sonesta Hotel,903.0,8.7,0.2
Embassy Suites Austin - Central,626.0,7.9,4.2
La Quinta Inn by Wyndham Austin Capitol / Downtown,513.0,5.8,0.4
AC Hotel by Marriott Austin-University,884.0,8.6,1.1
Hampton Inn & Suites Austin-Downtown/Convention Center,762.0,8.4,0.2
Radisson Hotel Austin,624.0,6.5,4.5
La Quinta Inn by Wyndham Austin Oltorf,455.0,5.6,2.3
"Staybridge Suites Austin North - Parmer Lane, an IHG Hotel",640.0,8.7,11.1
Hilton Austin,1065.0,8.0,0.3
Homewood Suites by Hilton Austin Downtown,762.0,8.0,0.7
Embassy Suites by Hilton Austin Downtown South Congress,810.0,8.0,0.6
UT Downtown Private Carriage ECO Pecan Tree House Free Wifi & Wired Internet,1137.0,9.8,2.2
"tommie Austin, part of Jdv by Hyatt",990.0,8.6,0.1
DoubleTree Suites by Hilton Hotel Austin,742.0,7.9,0.7
Hilton Garden Inn Austin North,632.0,8.3,10.2
"Holiday Inn Express Austin North Central, an IHG Hotel",607.0,7.8,6.4
Renaissance Austin Hotel,989.0,8.3,8.7
"Tru By Hilton Austin Airport, Tx",610.0,8.8,4.6
"Staybridge Suites Austin Airport, an IHG Hotel",799.0,7.7,4.5
Extended Stay America Suites - Austin - Downtown - Town Lake,689.0,7.0,0.8
"Staybridge Suites Austin Northwest, an IHG Hotel",697.0,8.0,12.2
"Staybridge Suites Austin South Interstate Hwy 35, an IHG Hotel",782.0,8.7,5.0
Hyatt Place Austin Downtown,849.0,8.2,0.2
Wyndham Garden Hotel Austin,619.0,7.7,3.0
